# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)	ext_dwxpos (m)
1.020035114013969e-09	0.10746546	0.00031041197	-0.6593274	-0.6604447	-8e-06	1.3626621e-08
1.030046121410597e-09	0.10746623	0.00029570173	-0.6592902	-0.66040725	-8e-06	1.3626718e-08
1.0400044472869836e-09	0.107466854	0.00028037874	-0.65925753	-0.6603743	-8e-06	1.3626797e-08
1.0500154758559446e-09	0.10746744	0.00026439942	-0.65922904	-0.6603457	-8e-06	1.3626873e-08
1.0600265163881979e-09	0.10746804	0.0002479794	-0.65920514	-0.66032153	-8e-06	1.3626947e-08
1.070037524211615e-09	0.107468545	0.00023127154	-0.659186	-0.6603021	-8e-06	1.36270115e-08
1.0800485479502627e-09	0.107468866	0.00021436664	-0.6591712	-0.6602873	-8e-06	1.3627051e-08
1.0900068602717728e-09	0.1074691	0.00019743606	-0.65916127	-0.66027725	-8e-06	1.3627082e-08
1.1000178473501532e-09	0.107469305	0.00018047911	-0.65915596	-0.6602719	-8e-06	1.3627107e-08
1.110028818863103e-09	0.10746939	0.00016376925	-0.65915513	-0.66027105	-8e-06	1.3627118e-08
1.1200398048443546e-09	0.1074693	0.0001473893	-0.65915877	-0.6602746	-8e-06	1.36271066e-08
1.1300507509738073e-09	0.10746924	0.00013136936	-0.6591667	-0.6602826	-8e-06	1.3627098e-08
1.140009032326957e-09	0.10746918	0.000115952906	-0.6591788	-0.66029483	-8e-06	1.3627092e-08
1.150020017269717e-09	0.107469	0.00010111956	-0.65919507	-0.6603111	-8e-06	1.362707e-08
1.16003094527951e-09	0.10746862	8.6990694e-05	-0.65921503	-0.66033125	-8e-06	1.3627022e-08
1.1700418991878495e-09	0.10746815	7.3624964e-05	-0.6592386	-0.66035503	-8e-06	1.3626961e-08
1.1800001515756847e-09	0.10746769	6.12334e-05	-0.65926546	-0.660382	-8e-06	1.3626903e-08
1.1900111119477526e-09	0.10746723	4.9790626e-05	-0.6592954	-0.66041225	-8e-06	1.3626845e-08
1.2000220432647873e-09	0.10746669	3.9376922e-05	-0.6593283	-0.6604453	-8e-06	1.3626776e-08
1.210033011886808e-09	0.10746606	2.99906e-05	-0.65936357	-0.6604808	-8e-06	1.3626697e-08
1.2200439895839458e-09	0.10746534	2.168506e-05	-0.659401	-0.6605185	-8e-06	1.3626604e-08
1.2300022643396784e-09	0.107464604	1.4584774e-05	-0.6594401	-0.66055787	-8e-06	1.36265115e-08
1.240013236483963e-09	0.10746389	8.677333e-06	-0.6594809	-0.66059905	-8e-06	1.362642e-08
1.2500242042986743e-09	0.10746317	3.996206e-06	-0.65952295	-0.6606414	-8e-06	1.362633e-08
1.2600351759483653e-09	0.10746241	4.9238076e-07	-0.6595659	-0.66068465	-8e-06	1.3626234e-08
1.2700461304727824e-09	0.1074616	-1.8286279e-06	-0.65960944	-0.6607284	-8e-06	1.3626131e-08
1.2800043735022628e-09	0.107460774	-2.9520595e-06	-0.6596529	-0.6607722	-8e-06	1.36260265e-08
1.2900153613428804e-09	0.10745995	-2.8921102e-06	-0.65969646	-0.6608161	-8e-06	1.3625922e-08
1.300026333588985e-09	0.10745915	-1.6487485e-06	-0.6597396	-0.6608596	-8e-06	1.362582e-08
1.310037330861006e-09	0.107458375	7.3205285e-07	-0.659782	-0.6609023	-8e-06	1.3625721e-08
1.3200483265350738e-09	0.10745762	4.185738e-06	-0.6598234	-0.660944	-8e-06	1.3625628e-08
1.3300066150729554e-09	0.107456885	8.618668e-06	-0.65986335	-0.6609841	-8e-06	1.3625533e-08
1.340017577624373e-09	0.10745616	1.40393695e-05	-0.6599018	-0.66102296	-8e-06	1.3625441e-08
1.3500285475648126e-09	0.10745547	2.039748e-05	-0.6599385	-0.6610599	-8e-06	1.3625353e-08
1.3600395415523217e-09	0.107454814	2.761895e-05	-0.6599732	-0.6610949	-8e-06	1.3625271e-08
1.3700505430164381e-09	0.107454196	3.5625402e-05	-0.6600057	-0.66112757	-8e-06	1.3625192e-08
1.38000884788265e-09	0.107453614	4.428418e-05	-0.6600356	-0.6611577	-8e-06	1.3625117e-08
1.390019828488807e-09	0.10745305	5.3609834e-05	-0.6600629	-0.66118526	-8e-06	1.3625047e-08
1.4000308129174016e-09	0.10745256	6.347199e-05	-0.6600876	-0.6612101	-8e-06	1.3624983e-08
1.4100418116793845e-09	0.107452124	7.380296e-05	-0.66010934	-0.6612321	-8e-06	1.362493e-08
1.4200001218248355e-09	0.10745179	8.446987e-05	-0.66012806	-0.66125095	-8e-06	1.3624887e-08
1.4300111432749315e-09	0.1074515	9.5493786e-05	-0.6601439	-0.6612669	-8e-06	1.3624851e-08
1.4400221147835545e-09	0.10745124	0.000106704225	-0.6601566	-0.6612798	-8e-06	1.3624815e-08
1.4500331325301082e-09	0.10745093	0.000118009426	-0.66016626	-0.6612894	-8e-06	1.36247795e-08
1.4600441691322185e-09	0.10745071	0.00012935374	-0.6601727	-0.66129595	-8e-06	1.3624749e-08
1.4700024659523986e-09	0.1074506	0.00014062384	-0.66017604	-0.6612993	-8e-06	1.3624735e-08
1.480013472868851e-09	0.10745064	0.00015183778	-0.6601764	-0.66129965	-8e-06	1.3624741e-08
1.4900244535773652e-09	0.10745079	0.00016282193	-0.66017383	-0.661297	-8e-06	1.3624759e-08
1.5000354612150892e-09	0.10745083	0.00017350116	-0.6601683	-0.6612915	-8e-06	1.3624766e-08
1.5100464704361504e-09	0.10745078	0.0001837986	-0.66015995	-0.66128314	-8e-06	1.362476e-08
1.5200047694983043e-09	0.107450806	0.00019361194	-0.6601489	-0.6612721	-8e-06	1.3624763e-08
1.5300157611917441e-09	0.107451014	0.00020306243	-0.6601354	-0.66125846	-8e-06	1.3624788e-08
